protocol_id,experiment,trace_id,implementation,width,regime,output_obligation,phase,operation_class,evidence_class,support_status,operations,cycles,nand_evaluations,nand_output_transitions,state_bit_transitions,input_bit_transitions,initial_nand_transitions,rejections,encodes,reconstructs,refreshes,final_value,feature,notes
PAH-BUILD002-CONF0001,A,A-W4-BIN-MULTIPLY-ALL,BIN-FU,4,COLD_MAG,MAGNITUDE_FINAL,EXECUTE,BINARY_MAGNITUDE_LOCAL,STRUCTURAL_DECLARED_OPERATION_ONLY,FULL_2W_PRODUCT,256,256,131072,14512,0,502,336,0,0,0,0,,all ordered W-bit magnitude pairs,Operation-only result; registered integrated cost is reported separately in static_costs.csv.
PAH-BUILD002-CONF0001,A,A-W4-BINEXP-COMPOSE-SMOOTH,VFU-BINEXP-S4,4,WARM_RESIDENT,STRUCTURAL_FINAL,EXECUTE,REPRESENTATION_LOCAL,STRUCTURAL_DECLARED,S4_SMOOTH_ONLY,196,196,146608,20082,0,566,458,0,0,0,0,,all ordered common-domain S4-smooth states,No magnitude requested; this row is not directly compared with MAGNITUDE_FINAL.
PAH-BUILD002-CONF0001,A,A-W4-THERM-COMPOSE-SMOOTH,VFU-THERM-S4,4,WARM_RESIDENT,STRUCTURAL_FINAL,EXECUTE,REPRESENTATION_LOCAL,STRUCTURAL_DECLARED,S4_SMOOTH_ONLY,196,196,59584,7256,0,626,190,0,0,0,0,,all ordered common-domain S4-smooth states,Direct threshold convolution; no binary acquisition/reconstruction or DFF boundary.
PAH-BUILD002-CONF0001,A,A-W4-FIT_W_EXACT,VFU-BINEXP-S4-COLD-INTEGRATED,4,COLD_MAG,MAGNITUDE_FINAL,INGRESS,REQUIRES_FACTOR_DISCOVERY,STRUCTURAL_DECLARED_ADAPTER,TWO_EXACT_CATALOG_ENCODERS_SUPPORT_TAGGED,136,136,23800,-1,0,-1,-1,0,136,0,0,,FIT_W_EXACT,Both W-bit operands pay the implemented cold valuation acquisition path.
PAH-BUILD002-CONF0001,A,A-W4-FIT_W_EXACT,VFU-BINEXP-S4-COLD-INTEGRATED,4,COLD_MAG,MAGNITUDE_FINAL,EXECUTE,REPRESENTATION_LOCAL,STRUCTURAL_DECLARED_OPERATION_ONLY,FIT_W_EXACT,68,68,50864,-1,0,-1,-1,0,0,0,0,,FIT_W_EXACT,Native compose is charged after both cold encodes; persistent boundaries remain visible in static_costs.csv.
PAH-BUILD002-CONF0001,A,A-W4-FIT_W_EXACT,VFU-BINEXP-S4-COLD-INTEGRATED,4,COLD_MAG,MAGNITUDE_FINAL,EGRESS,CROSS_REPRESENTATION,STRUCTURAL_DECLARED_ADAPTER,EXACT_W_BIT_RECONSTRUCTION,68,68,69428,-1,0,-1,-1,0,0,68,0,,FIT_W_EXACT,Every exact W-bit structural product pays the implemented reconstruction path.
PAH-BUILD002-CONF0001,A,A-W4-FIT_W_EXACT,BIN-FU,4,COLD_MAG,MAGNITUDE_FINAL,EXECUTE,BINARY_MAGNITUDE_LOCAL,STRUCTURAL_DECLARED_EXHAUSTIVE_CASE_COUNT,FULL_2W_PRODUCT,68,68,34816,-1,0,-1,-1,0,0,0,0,,FIT_W_EXACT,The conventional multiplier satisfies the full 2W product contract for the identical smooth-input cohort.
PAH-BUILD002-CONF0001,A,A-W4-FIT_2W_STRUCTURAL_UNSATURATED_OUTSIDE_W,VFU-BINEXP-S4-COLD-INTEGRATED,4,COLD_MAG,STRUCTURAL_FINAL,INGRESS,REQUIRES_FACTOR_DISCOVERY,STRUCTURAL_DECLARED_ADAPTER,TWO_EXACT_CATALOG_ENCODERS_SUPPORT_TAGGED,178,178,31150,-1,0,-1,-1,0,178,0,0,,FIT_2W_STRUCTURAL_UNSATURATED_OUTSIDE_W,Both W-bit operands pay the implemented cold valuation acquisition path.
PAH-BUILD002-CONF0001,A,A-W4-FIT_2W_STRUCTURAL_UNSATURATED_OUTSIDE_W,VFU-BINEXP-S4-COLD-INTEGRATED,4,COLD_MAG,STRUCTURAL_FINAL,EXECUTE,REPRESENTATION_LOCAL,STRUCTURAL_DECLARED_OPERATION_ONLY,FIT_2W_STRUCTURAL_UNSATURATED_OUTSIDE_W,89,89,66572,-1,0,-1,-1,0,0,0,0,,FIT_2W_STRUCTURAL_UNSATURATED_OUTSIDE_W,Native compose is charged after both cold encodes; persistent boundaries remain visible in static_costs.csv.
PAH-BUILD002-CONF0001,A,A-W4-FIT_2W_STRUCTURAL_UNSATURATED_OUTSIDE_W,VFU-BINEXP-S4-COLD-INTEGRATED,4,COLD_MAG,STRUCTURAL_FINAL,EGRESS,CROSS_REPRESENTATION,CONTRACT_LIMIT,NO_W_BIT_MAGNITUDE_FOR_2W_PRODUCT,0,0,-1,-1,0,-1,-1,0,0,0,0,,FIT_2W_STRUCTURAL_UNSATURATED_OUTSIDE_W,The frozen decoder has a W-bit magnitude port; a full 2W magnitude contract is unsupported and is not assigned zero cost.
PAH-BUILD002-CONF0001,A,A-W4-FIT_2W_STRUCTURAL_UNSATURATED_OUTSIDE_W,BIN-FU,4,COLD_MAG,MAGNITUDE_FINAL,EXECUTE,BINARY_MAGNITUDE_LOCAL,STRUCTURAL_DECLARED_EXHAUSTIVE_CASE_COUNT,FULL_2W_PRODUCT,89,89,45568,-1,0,-1,-1,0,0,0,0,,FIT_2W_STRUCTURAL_UNSATURATED_OUTSIDE_W,The conventional multiplier satisfies the full 2W product contract for the identical smooth-input cohort.
PAH-BUILD002-CONF0001,A,A-W4-FIT_2W_WITH_SATURATED_LANE,VFU-BINEXP-S4-COLD-INTEGRATED,4,COLD_MAG,STRUCTURAL_FINAL,INGRESS,REQUIRES_FACTOR_DISCOVERY,STRUCTURAL_DECLARED_ADAPTER,TWO_EXACT_CATALOG_ENCODERS_SUPPORT_TAGGED,78,78,13650,-1,0,-1,-1,0,78,0,0,,FIT_2W_WITH_SATURATED_LANE,Both W-bit operands pay the implemented cold valuation acquisition path.
PAH-BUILD002-CONF0001,A,A-W4-FIT_2W_WITH_SATURATED_LANE,VFU-BINEXP-S4-COLD-INTEGRATED,4,COLD_MAG,STRUCTURAL_FINAL,EXECUTE,REPRESENTATION_LOCAL,STRUCTURAL_DECLARED_OPERATION_ONLY,FIT_2W_WITH_SATURATED_LANE,39,39,29172,-1,0,-1,-1,0,0,0,0,,FIT_2W_WITH_SATURATED_LANE,Native compose is charged after both cold encodes; persistent boundaries remain visible in static_costs.csv.
PAH-BUILD002-CONF0001,A,A-W4-FIT_2W_WITH_SATURATED_LANE,VFU-BINEXP-S4-COLD-INTEGRATED,4,COLD_MAG,STRUCTURAL_FINAL,EGRESS,CROSS_REPRESENTATION,CONTRACT_LIMIT,NO_W_BIT_MAGNITUDE_FOR_2W_PRODUCT,0,0,-1,-1,0,-1,-1,0,0,0,0,,FIT_2W_WITH_SATURATED_LANE,The frozen decoder has a W-bit magnitude port; a full 2W magnitude contract is unsupported and is not assigned zero cost.
PAH-BUILD002-CONF0001,A,A-W4-FIT_2W_WITH_SATURATED_LANE,BIN-FU,4,COLD_MAG,MAGNITUDE_FINAL,EXECUTE,BINARY_MAGNITUDE_LOCAL,STRUCTURAL_DECLARED_EXHAUSTIVE_CASE_COUNT,FULL_2W_PRODUCT,39,39,19968,-1,0,-1,-1,0,0,0,0,,FIT_2W_WITH_SATURATED_LANE,The conventional multiplier satisfies the full 2W product contract for the identical smooth-input cohort.
